geno	day	wt	ht	til		
11	32	NaN	18	6		
11	32	NaN	16.8	5		
11	32	NaN	16.9	2		
2	32	NaN	19.1	1		
11	32	NaN	22.7	5		
5	32	NaN	21.3	4		
11	32	NaN	19	9		
2	32	NaN	25	2		
2	32	NaN	27.1	2		
5	32	NaN	28.1	4		
5	32	NaN	40.6	1		
2	32	NaN	25.5	6		
5	32	NaN	29.2	2		
5	32	NaN	28.7	4		
5	32	NaN	23.9	3		
2	32	NaN	27.6	3		
5	32	NaN	25.6	1		
11	32	NaN	14.9	7		
2	32	NaN	34.2	5		
11	32	NaN	15.4	5		
2	32	NaN	16.4	1		
2	32	NaN	29.1	4		
2	32	NaN	29.6	1		
5	32	NaN	27.3	1		
11	32	NaN	21.5	7		
5	32	NaN	26.5	1		
2	32	NaN	24.4	1		
5	32	NaN	23.7	2		
11	32	NaN	24.4	4		
2	32	NaN	16.5	1		
2	32	NaN	27.3	2		
5	32	NaN	25.3	3		
5	32	NaN	29.5	2		
5	32	NaN	32.1	4		
11	32	NaN	27.6	4		
2	32	NaN	26.1	2		
2	32	NaN	23.9	2		
5	32	NaN	24.5	2		
11	32	NaN	22.4	5		
2	32	NaN	28.7	2		
5	32	NaN	28.5	2		
11	32	NaN	21.9	4		
11	32	NaN	21.5	4		
2	32	NaN	27	1		
5	32	NaN	22.4	4		
2	32	NaN	26.4	1		
11	32	NaN	26.1	7		
11	32	NaN	27.3	8		
11	32	NaN	26.1	2		
11	32	NaN	19.7	4		
5	32	NaN	23.2	2		
2	32	NaN	25.6	4		
5	32	NaN	32.1	3		
11	32	NaN	25.2	7		
5	32	NaN	23.3	3		
11	32	NaN	32.2	1		
2	32	NaN	21	2		
2	32	NaN	32.2	1		
5	32	NaN	31	4		
5	32	NaN	28.1	1		
5	32	NaN	36.1	1		
2	32	NaN	25.3	2		
2	32	NaN	29.1	2		
5	32	NaN	28.6	4		
2	32	NaN	30.5	1		
11	32	NaN	25.3	6		
11	32	NaN	23.8	2		
11	32	NaN	24.4	3		
11	32	NaN	19.6	3		
11	32	NaN	18.7	5		
11	32	NaN	26.5	6		
11	32	NaN	25.1	3		
11	32	NaN	22.3	2		
11	32	NaN	21.1	1		
11	32	NaN	25.1	1		
11	32	NaN	4.3	1		
11	32	NaN	30.2	2		
11	32	NaN	19.7	5		
11	32	NaN	17.3	2		
11	32	NaN	NaN	NaN		
11	32	NaN	19.9	8		
11	32	NaN	19.4	5		
11	32	NaN	17.9	9		
11	32	NaN	16.3	7		
11	32	NaN	20.5	10		
11	32	NaN	18.2	3		
11	32	NaN	19.3	4		
11	32	NaN	20	4		
11	32	NaN	27.5	3		
11	32	NaN	29.4	7		
11	32	NaN	17.2	4		
11	32	NaN	19.6	4		
5	32	NaN	NaN	NaN		
5	32	NaN	7.7	1		
5	32	NaN	20.5	2		
5	32	NaN	19.6	3		
5	32	NaN	33.3	3		
5	32	NaN	32.5	2		
5	32	NaN	26.6	2		
5	32	NaN	31.9	3		
5	32	NaN	32.9	1		
